step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
300,CASH_OUT,181788.99,C825056850,0.0,0.0,C513584477,5732387.04,5914176.03,0,0
42,CASH_IN,289986.46,C235055434,363550.79,653537.25,C345498899,2145419.2,1855432.74,0,0
125,CASH_OUT,99793.9,C1996420000,99793.9,0.0,C987180793,209608.93,309402.83,1,0
331,CASH_OUT,157231.73,C519391588,126534.0,0.0,C2142857957,680779.92,838011.65,0,0
325,CASH_OUT,257441.3,C957615616,0.0,0.0,C1030996491,620103.96,877545.26,0,0
621,TRANSFER,3054359.4,C817672066,3054359.4,0.0,C657457029,0.0,0.0,1,0
694,CASH_OUT,5175876.53,C731901376,5175876.53,0.0,C1761260133,7229712.73,12405589.26,1,0
484,TRANSFER,26654.46,C755286039,26654.46,0.0,C2094079166,0.0,0.0,1,0
177,CASH_IN,201634.63,C401992033,443.0,202077.63,C489688956,303493.85,101859.22,0,0
615,TRANSFER,75113.49,C1914910500,75113.49,0.0,C933913853,0.0,0.0,1,0
234,PAYMENT,10700.1,C1760290869,120378.94,109678.84,M1344205843,0.0,0.0,0,0
406,CASH_OUT,40013.19,C1200853822,40013.19,0.0,C1373765456,0.0,40013.19,1,0
178,PAYMENT,17013.52,C1750158290,106521.0,89507.48,M1860514776,0.0,0.0,0,0
184,CASH_IN,265324.05,C1874332244,2621183.17,2886507.22,C1423847048,6732396.35,6033480.27,0,0
161,PAYMENT,17982.77,C1762556420,0.0,0.0,M1098287970,0.0,0.0,0,0
204,PAYMENT,24604.41,C1082352281,100243.87,75639.46,M696786097,0.0,0.0,0,0
305,PAYMENT,17369.82,C745985121,10673.0,0.0,M891677422,0.0,0.0,0,0
254,CASH_OUT,386748.72,C737382162,0.0,0.0,C724874734,6021035.76,6407784.48,0,0
279,CASH_OUT,98897.07,C1955555137,98897.07,0.0,C1535626226,497573.39,596470.46,1,0
60,TRANSFER,581421.85,C1021314422,581421.85,0.0,C2062695733,0.0,0.0,1,0
38,CASH_OUT,3372.0,C2002603307,3372.0,0.0,C1685866985,456659.44,460031.44,1,0
374,CASH_OUT,700523.69,C2113506271,700523.69,0.0,C1469541574,1633037.51,2333561.21,1,0
636,CASH_OUT,1455839.54,C487085645,1455839.54,0.0,C576388440,149698.53,1605538.07,1,0
540,TRANSFER,1989311.31,C1191467360,1989311.31,0.0,C1694026164,0.0,0.0,1,0
171,TRANSFER,2754740.54,C99753762,2754740.54,0.0,C1760625669,0.0,0.0,1,0
11,PAYMENT,25948.18,C311191688,3677.0,0.0,M1518133823,0.0,0.0,0,0
43,CASH_OUT,45257.52,C803538033,0.0,0.0,C1254948267,619735.0,664992.52,0,0
464,CASH_OUT,1219062.64,C1256913473,1219062.64,0.0,C967785353,278750.5,1497813.13,1,0
520,CASH_OUT,1459180.14,C1825598858,1459180.14,0.0,C1736623686,1120598.68,2579778.81,1,0
233,TRANSFER,597411.76,C2113853115,597411.76,0.0,C338573575,0.0,0.0,1,0
11,PAYMENT,2148.1,C2033697256,0.0,0.0,M427600399,0.0,0.0,0,0
254,TRANSFER,998797.78,C643018222,6060.0,0.0,C1544862417,572651.94,1571449.72,0,0
94,CASH_IN,101994.15,C791060274,5583.0,107577.15,C1711601897,2064148.73,1962154.58,0,0
34,CASH_OUT,428239.03,C1057589740,428239.03,0.0,C511164301,293130.02,1456009.92,1,0
651,TRANSFER,65494.78,C504273308,65494.78,0.0,C1723740840,0.0,0.0,1,0
17,CASH_OUT,298701.78,C418797936,0.0,0.0,C2135948178,1427618.85,1726320.63,0,0
547,TRANSFER,594471.04,C1886207550,594471.04,0.0,C1120946694,0.0,0.0,1,0
177,CASH_OUT,1201681.76,C2146217272,1201681.76,0.0,C411880300,1069475.01,2271156.77,1,0
608,TRANSFER,780687.45,C1149916025,780687.45,0.0,C757331107,0.0,0.0,1,0
300,CASH_OUT,505102.69,C503637585,0.0,0.0,C78038590,761953.39,1267056.09,0,0
155,CASH_OUT,386308.41,C407498594,21498.0,0.0,C446692624,4285735.71,4672044.12,0,0
351,CASH_IN,270101.2,C2033513338,102.0,270203.2,C310999169,0.0,0.0,0,0
226,TRANSFER,9960382.4,C427148786,9960382.4,0.0,C1532977706,0.0,0.0,1,0
38,CASH_IN,69756.3,C1414118254,41081.0,110837.3,C718752212,0.0,0.0,0,0
328,TRANSFER,10000000.0,C1622716808,49852.0,0.0,C2043701852,720721.48,20416147.42,0,0
160,PAYMENT,7918.72,C886661609,44334.1,36415.39,M606659718,0.0,0.0,0,0
228,CASH_OUT,52064.16,C1622363318,273.0,0.0,C993651730,0.0,52064.16,0,0
33,PAYMENT,2064.08,C2123745377,523578.0,521513.92,M1278747700,0.0,0.0,0,0
342,CASH_OUT,21279.19,C1395548664,21279.19,0.0,C5036546,2205.4,23484.59,1,0
363,CASH_OUT,7703574.71,C233751269,7703574.71,0.0,C300915892,0.0,7703574.71,1,0
409,CASH_OUT,10000000.0,C63538570,10000000.0,0.0,C1430589184,0.0,10000000.0,1,0
677,CASH_OUT,9295454.24,C918631268,9295454.24,0.0,C1985219083,486305.42,9781759.67,1,0
253,CASH_OUT,168622.3,C294300042,168622.3,0.0,C1850704979,941451.87,1110074.16,1,0
204,CASH_IN,323057.27,C597432591,100842.0,423899.27,C1860734413,607332.83,284275.55,0,0
16,CASH_OUT,31074.0,C2073757635,31074.0,0.0,C1899325653,0.0,31074.0,1,0
603,TRANSFER,4099382.36,C371063342,4099382.36,0.0,C1426227397,0.0,0.0,1,0
534,TRANSFER,1390332.39,C31495948,1390332.39,0.0,C1914529575,0.0,0.0,1,0
131,TRANSFER,1267236.43,C106773238,52497.0,0.0,C2025420826,0.0,1267236.43,0,0
735,TRANSFER,123146.28,C1625883009,123146.28,0.0,C918154390,0.0,0.0,1,0
34,CASH_OUT,170961.19,C16821221,0.0,0.0,C1886159767,1374309.32,1545270.51,0,0
719,CASH_OUT,366896.03,C2113748548,366896.03,0.0,C2051326295,0.0,366896.03,1,0
201,CASH_OUT,318420.61,C571546539,1085.0,0.0,C1409759410,226345.41,544766.02,0,0
560,CASH_OUT,730677.5,C512720959,730677.5,0.0,C1056205727,0.0,730677.5,1,0
321,CASH_OUT,59628.24,C1826008632,59628.24,0.0,C1992468113,686111.28,745739.53,1,0
115,CASH_OUT,120232.13,C978703019,120232.13,0.0,C786116491,2419860.01,2540092.14,1,0
694,CASH_OUT,174107.36,C1305053025,174107.36,0.0,C1164504489,3873738.68,4047846.04,1,0
718,TRANSFER,371449.7,C1572583311,371449.7,0.0,C336176580,0.0,0.0,1,0
14,PAYMENT,16583.67,C678632368,322873.25,306289.58,M7836162,0.0,0.0,0,0
629,TRANSFER,93884.26,C1105988166,93884.26,0.0,C217954795,0.0,0.0,1,0
185,CASH_OUT,194339.68,C1424817916,554621.0,360281.32,C1449625802,4233770.61,4428110.29,0,0
228,CASH_OUT,46785.05,C1606421460,0.0,0.0,C1286615126,1847480.28,1894265.33,0,0
331,CASH_IN,252800.84,C643377310,3856339.61,4109140.45,C1216518180,603647.04,94343.02,0,0
398,CASH_OUT,87865.94,C1593062018,21077.0,0.0,C914837896,5168203.92,5256069.87,0,0
732,TRANSFER,249365.63,C372564056,249365.63,0.0,C977922578,0.0,0.0,1,0
521,CASH_OUT,48734.24,C1897399258,48734.24,0.0,C1433317922,547479.72,596213.96,1,0
683,CASH_OUT,411571.72,C1961826730,136809.36,0.0,C1204980534,719810.06,1131381.78,0,0
19,PAYMENT,2940.39,C291351149,196415.14,193474.75,M1637324427,0.0,0.0,0,0
298,CASH_OUT,103093.2,C799834282,0.0,0.0,C1203010340,539703.58,642796.78,0,0
564,TRANSFER,2472250.47,C577087580,2472250.47,0.0,C660528098,0.0,0.0,1,0
131,TRANSFER,511259.05,C1573880228,511259.05,0.0,C313140840,0.0,0.0,1,0
143,PAYMENT,2368.38,C1922406185,10839.0,8470.62,M1374123633,0.0,0.0,0,0
188,PAYMENT,11908.19,C387010857,187.0,0.0,M711866235,0.0,0.0,0,0
307,CASH_OUT,1749325.14,C1029257629,1749325.14,0.0,C1200877577,1327198.86,3076524.0,1,0
611,CASH_OUT,59649.33,C452081223,59649.33,0.0,C1923665675,807552.55,867201.88,1,0
375,CASH_OUT,821138.21,C1967126736,821138.21,0.0,C1968363460,1944521.52,2765659.73,1,0
38,CASH_IN,228273.19,C1582174129,1104643.19,1332916.38,C254899021,231049.96,2776.77,0,0
20,CASH_OUT,91253.55,C2030787689,15399.0,0.0,C1497333337,238453.76,329707.31,0,0
502,CASH_OUT,66066.73,C1566921402,66066.73,0.0,C1640218672,0.0,66066.73,1,0
42,CASH_IN,84415.72,C504610969,8703993.75,8788409.47,C2119596256,154540.53,70124.81,0,0
162,TRANSFER,172779.59,C1419321487,7048.0,0.0,C1974895957,5850756.91,6023536.5,0,0
736,CASH_OUT,3912252.81,C2015532834,3912252.81,0.0,C1094245797,0.0,3912252.81,1,0
42,TRANSFER,506867.52,C1345605199,506867.52,0.0,C759668657,0.0,0.0,1,0
309,CASH_OUT,222694.08,C1931470495,222694.08,0.0,C1495297398,0.0,222694.08,1,0
595,CASH_IN,196323.26,C1846253829,125702.0,322025.26,C972224204,14953.31,0.0,0,0
259,PAYMENT,9549.66,C1825781042,11988.0,2438.34,M693237241,0.0,0.0,0,0
686,PAYMENT,8086.89,C1368641200,65294.0,57207.11,M1250424488,0.0,0.0,0,0
393,TRANSFER,1997695.58,C1178621269,0.0,0.0,C1803962165,9609849.87,11607545.45,0,0
516,CASH_OUT,10000000.0,C179123496,10000000.0,0.0,C150091086,6070888.2,16070888.2,1,0
206,PAYMENT,9711.06,C2081498543,4491.0,0.0,M197259091,0.0,0.0,0,0
204,CASH_OUT,81244.31,C2103928178,81244.31,0.0,C767985950,62279.28,143523.59,1,0
502,TRANSFER,4758180.79,C1927843897,4758180.79,0.0,C1253561836,0.0,0.0,1,0
471,CASH_IN,147551.54,C1050607273,1948.0,149499.54,C1267921883,0.0,0.0,0,0
331,TRANSFER,193804.12,C1311113260,0.0,0.0,C114730398,7211345.03,7405149.15,0,0
737,TRANSFER,2194533.79,C871130115,2194533.79,0.0,C1027984317,0.0,0.0,1,0
519,CASH_OUT,105491.11,C1383213814,105491.11,0.0,C1068795979,0.0,105491.11,1,0
232,TRANSFER,570135.07,C1797062826,570135.07,0.0,C1005190137,0.0,0.0,1,0
165,CASH_OUT,45733.01,C1171319536,101317.0,55583.99,C598271322,445684.57,491417.58,0,0
507,CASH_OUT,269476.09,C2019808660,269476.09,0.0,C1739573191,32185.76,301661.86,1,0
374,CASH_OUT,249220.37,C1125613473,19126.0,0.0,C1124342414,1098913.54,1348133.91,0,0
12,CASH_OUT,222048.71,C265790428,0.0,0.0,C1700442291,2979.0,225027.71,1,0
406,CASH_IN,169193.86,C247911810,1491.0,170684.86,C1858488039,0.0,0.0,0,0
451,CASH_OUT,52231.26,C1724224899,1675.0,0.0,C304740113,0.0,52231.26,0,0
34,TRANSFER,30917.39,C1302461032,30917.39,0.0,C1058590682,0.0,0.0,1,0
14,TRANSFER,1561891.66,C736093511,1561891.66,0.0,C1224081716,0.0,0.0,1,0
629,TRANSFER,892213.56,C203112109,892213.56,0.0,C1034010238,0.0,0.0,1,0
134,CASH_IN,331800.65,C1888963423,90671.0,422471.65,C1582347679,159075.65,0.0,0,0
162,CASH_OUT,6228.22,C1261941752,49118.0,42889.78,C1105752767,145261.83,151490.05,0,0
211,TRANSFER,157137.97,C195008073,157137.97,0.0,C390992716,0.0,0.0,1,0
327,CASH_OUT,99910.14,C611044934,11522.0,0.0,C1274269467,0.0,99910.14,0,0
83,TRANSFER,2498370.12,C1058391661,2498370.12,0.0,C167823915,0.0,0.0,1,0
6,CASH_IN,154735.14,C1367661099,9102200.77,9256935.91,C251155815,157604.0,0.0,0,0
643,TRANSFER,44482.33,C409367795,44482.33,0.0,C1969995735,0.0,0.0,1,0
312,CASH_OUT,6580427.81,C511307813,6580427.81,0.0,C377087678,0.0,6580427.81,1,0
35,TRANSFER,122032.62,C133342319,122032.62,0.0,C1919617921,0.0,0.0,1,0
182,PAYMENT,24909.01,C618438063,15172.0,0.0,M1083747086,0.0,0.0,0,0
120,TRANSFER,49571.87,C117760847,49571.87,0.0,C578681858,0.0,0.0,1,0
462,TRANSFER,67921.66,C244092764,67921.66,0.0,C1927485075,0.0,0.0,1,0
94,PAYMENT,401.65,C2120977032,107165.09,106763.44,M982386066,0.0,0.0,0,0
535,CASH_OUT,588173.24,C253741905,588173.24,0.0,C575853652,16152763.21,16740936.45,1,0
309,PAYMENT,15856.38,C1535925472,54162.0,38305.62,M898309169,0.0,0.0,0,0
186,TRANSFER,8001.5,C36251735,40079.0,32077.5,C1332772489,0.0,8001.5,0,0
403,TRANSFER,104677.92,C975898135,0.0,0.0,C676922171,263434.29,368112.21,0,0
136,PAYMENT,7703.55,C1518392883,72766.0,65062.45,M166567201,0.0,0.0,0,0
397,CASH_IN,168647.14,C314867773,10765.0,179412.14,C2091139419,6912594.16,6743947.02,0,0
358,CASH_OUT,376059.27,C141206514,376059.27,0.0,C1457638866,0.0,376059.27,1,0
401,CASH_OUT,375592.43,C2000193597,74810.0,0.0,C1036782703,0.0,658622.87,0,0
388,TRANSFER,960196.16,C1335615679,960196.16,0.0,C650152764,0.0,0.0,1,0
149,CASH_OUT,155534.95,C1961781610,155534.95,0.0,C1530802023,88096.9,243631.85,1,0
188,TRANSFER,277350.43,C1906131138,0.0,0.0,C989359490,1985750.22,2263100.65,0,0
637,TRANSFER,1429666.51,C1193130163,0.0,0.0,C328239164,3960523.62,5390190.12,0,0
20,CASH_OUT,207827.27,C2114942424,18032.61,0.0,C1972335962,5795326.03,5750617.07,0,0
132,CASH_OUT,498298.92,C1821595069,39879.0,0.0,C867372124,0.0,498298.92,0,0
304,CASH_OUT,987.06,C1253897071,0.0,0.0,C1321307013,144936.44,145923.51,0,0
365,TRANSFER,31315.51,C1174332140,31315.51,0.0,C1252332991,0.0,0.0,1,0
621,TRANSFER,6961359.11,C1508375494,6961359.11,0.0,C1926498951,0.0,0.0,1,0
123,CASH_OUT,629958.0,C1778361668,629958.0,0.0,C675358222,403252.79,1033210.79,1,0
694,TRANSFER,174107.36,C1167176851,174107.36,0.0,C1633521068,0.0,0.0,1,0
253,CASH_IN,250589.91,C2088760954,1311019.73,1561609.63,C2014361121,497023.32,246433.41,0,0
356,TRANSFER,203715.83,C767039576,0.0,0.0,C1885218818,326189.81,529905.64,0,0
212,CASH_IN,23022.63,C1124401545,7090605.68,7113628.31,C357044084,823904.3,800881.66,0,0
497,CASH_OUT,3695429.98,C1797769206,3695429.98,0.0,C676671018,223917.78,3919347.75,1,0
137,CASH_OUT,3116833.75,C794060279,3116833.75,0.0,C928051601,456298.06,3573131.82,1,0
213,CASH_IN,271933.8,C853537788,3714728.7,3986662.51,C1533091865,8715702.72,8443768.91,0,0
33,PAYMENT,1402.63,C890748055,633872.34,632469.71,M261742558,0.0,0.0,0,0
398,TRANSFER,371771.44,C345189504,371771.44,0.0,C305070019,0.0,0.0,1,0
718,TRANSFER,9749042.95,C1040320190,9749042.95,0.0,C598263954,0.0,0.0,1,0
296,CASH_OUT,40593.23,C1911506122,40593.23,0.0,C1767820890,173347.8,213941.02,1,0
57,CASH_OUT,354441.19,C633069844,354441.19,0.0,C1718989078,452296.45,806737.65,1,0
625,TRANSFER,10000000.0,C1179529142,13020974.53,3020974.53,C2073831661,0.0,0.0,1,0
269,TRANSFER,32527.0,C1930526816,32527.0,0.0,C1608920091,0.0,0.0,1,0
12,CASH_IN,255511.93,C194517249,5936641.75,6192153.68,C232834050,2330411.09,2715299.77,0,0
100,TRANSFER,1422963.14,C626697086,1422963.14,0.0,C95194783,0.0,0.0,1,0
324,CASH_IN,49349.25,C1661180570,108.0,49457.25,C1343132287,239113.67,189764.42,0,0
260,PAYMENT,2690.32,C232119703,241.0,0.0,M107642432,0.0,0.0,0,0
559,CASH_OUT,55539.89,C1066149498,55539.89,0.0,C1356062559,498366.47,553906.36,1,0
137,CASH_OUT,166319.77,C1594846280,0.0,0.0,C541373010,1554989.95,1738024.09,0,0
628,CASH_OUT,709950.57,C1251020592,709950.57,0.0,C723136317,0.0,709950.57,1,0
